"root_label","root_path","full_path","relative_path","file_name","extension","size_bytes","size_mb","created_at","modified_at","category"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_classifier_phase3_20260727_111751\pip_freeze_before.txt","_patch_backups\ml_classifier_phase3_20260727_111751\pip_freeze_before.txt","pip_freeze_before.txt",".txt","1227","0.0012","2026-07-27T11:17:53","2026-07-27T11:17:54","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_classifier_phase3_20260727_111751\backend\requirements.txt","_patch_backups\ml_classifier_phase3_20260727_111751\backend\requirements.txt","requirements.txt",".txt","335","0.0003","2026-07-27T11:17:51","2026-07-27T09:15:37","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_field_labels_phase4a2_20260728_135717\git_diff_before.patch","_patch_backups\ml_field_labels_phase4a2_20260728_135717\git_diff_before.patch","git_diff_before.patch",".patch","137623","0.1312","2026-07-28T13:57:19","2026-07-28T13:57:19","BACKUP"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_field_labels_phase4a2_20260728_135717\git_status_before.txt","_patch_backups\ml_field_labels_phase4a2_20260728_135717\git_status_before.txt","git_status_before.txt",".txt","4710","0.0045","2026-07-28T13:57:19","2026-07-28T13:57:19","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_field_labels_phase4a2_20260728_135717\pip_freeze_before.txt","_patch_backups\ml_field_labels_phase4a2_20260728_135717\pip_freeze_before.txt","pip_freeze_before.txt",".txt","1227","0.0012","2026-07-28T13:57:19","2026-07-28T13:57:19","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_field_labels_phase4a_20260727_174321\git_status_before.txt","_patch_backups\ml_field_labels_phase4a_20260727_174321\git_status_before.txt","git_status_before.txt",".txt","4505","0.0043","2026-07-27T17:43:23","2026-07-27T17:43:23","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_field_labels_phase4a_20260727_174321\pip_freeze.txt","_patch_backups\ml_field_labels_phase4a_20260727_174321\pip_freeze.txt","pip_freeze.txt",".txt","1227","0.0012","2026-07-27T17:43:23","2026-07-27T17:43:23","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_field_labels_phase4a_20260727_175411\git_diff_before.patch","_patch_backups\ml_field_labels_phase4a_20260727_175411\git_diff_before.patch","git_diff_before.patch",".patch","137623","0.1312","2026-07-27T17:54:11","2026-07-27T17:54:11","BACKUP"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_field_labels_phase4a_20260727_175411\git_status_before.txt","_patch_backups\ml_field_labels_phase4a_20260727_175411\git_status_before.txt","git_status_before.txt",".txt","4565","0.0044","2026-07-27T17:54:11","2026-07-27T17:54:11","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_field_labels_phase4a_20260727_175411\pip_freeze.txt","_patch_backups\ml_field_labels_phase4a_20260727_175411\pip_freeze.txt","pip_freeze.txt",".txt","1227","0.0012","2026-07-27T17:54:11","2026-07-27T17:54:11","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_field_rankers_phase4b_20260728_142316\git_diff_before.patch","_patch_backups\ml_field_rankers_phase4b_20260728_142316\git_diff_before.patch","git_diff_before.patch",".patch","137623","0.1312","2026-07-28T14:23:16","2026-07-28T14:23:16","BACKUP"
